Plate #,Row,Column,Record no.,ORF,Gene
3,M,12,3402,YBR262C,AIM5
3,M,13,2133,YPL119C,DBP1
3,M,14,3403,YBR263W,SHM1
3,M,15,2134,YPL118W,MRP51
3,M,16,3404,YBR264C,YPT10
3,M,17,2136,YPL116W,HOS3
3,M,18,3406,YBR266C,YBR266C
3,M,19,2137,YPL115C,BEM3
3,M,20,3407,YBR267W,REI1
3,M,21,2138,YPL114W,YPL114W
3,M,22,3408,YBR268W,MRPL37
3,M,23,2139,YPL113C,YPL113C
3,M,24,3985,YDR049W,VMS1
3,N,1,4184,YDR347W,MRP1
3,N,2,282,YEL041W,YEF1
3,N,3,4185,YDR348C,PAL1
3,N,4,283,YEL042W,GDA1
3,N,5,4186,YDR349C,YPS7
3,N,6,284,YEL043W,YEL043W
3,N,7,4187,YDR350C,ATP22
3,N,8,286,YEL045C,YEL045C
3,N,9,4188,YDR351W,SBE2
3,N,10,287,YEL046C,GLY1
3,N,11,4189,YDR352W,YPQ2
3,N,12,288,YEL047C,FRD1
3,N,13,4191,YDR354W,TRP4
3,N,14,289,YEL048C,TCA17
3,N,15,4194,YDR357C,CNL1
3,N,16,290,YEL049W,PAU2
3,N,17,4195,YDR358W,GGA1
3,N,18,291,YEL050C,RML2
3,N,19,4196,YDR359C,EAF1
3,N,20,292,YEL051W,VMA8
3,N,21,4197,YDR360W,YDR360W
3,N,22,293,YEL052W,AFG1
3,N,23,4200,YDR363W,ESC2
3,N,24,294,YEL053C,MAK10
3,O,1,2140,YPL112C,PEX25
3,O,2,3986,YDR050C,TPI1
3,O,3,-,,
3,O,4,-,,
3,O,5,2141,YPL111W,CAR1
3,O,6,3987,YDR051C,DET1
3,O,7,2142,YPL110C,GDE1
3,O,8,3991,YDR055W,PST1
3,O,9,2143,YPL109C,YPL109C
3,O,10,3992,YDR056C,YDR056C
3,O,11,2144,YPL108W,YPL108W
3,O,12,3993,YDR057W,YOS9
3,O,13,2145,YPL107W,YPL107W
3,O,14,3994,YDR059C,UBC5
3,O,15,2146,YPL106C,SSE1
3,O,16,3996,YDR061W,YDR061W
3,O,17,2147,YPL105C,SYH1
3,O,18,3998,YDR063W,AIM7
3,O,19,2148,YPL104W,MSD1
3,O,20,4000,YDR065W,RRG1
3,O,21,2149,YPL103C,FMP30
3,O,22,4001,YDR066C,RTR2
3,O,23,2150,YPL101W,ELP4
3,O,24,4002,YDR067C,OCA6
3,P,1,4201,YDR364C,CDC40
3,P,2,295,YEL054C,RPL12a
3,P,3,-,,
3,P,4,-,,
3,P,5,4204,YDR368W,YPR1
3,P,6,297,YEL056W,HAT2
3,P,7,4205,YDR369C,XRS2
3,P,8,298,YEL057C,YEL057C
3,P,9,4206,YDR370C,DXO1
3,P,10,301,YEL059W,YEL059W
3,P,11,4207,YDR371W,CTS2
3,P,12,302,YEL060C,PRB1
3,P,13,4208,YDR372C,VPS74
3,P,14,303,YEL061C,CIN8
3,P,15,4210,YDR374C,YDR374C
3,P,16,304,YEL062W,NPR2
3,P,17,4211,YDR375C,BCS1
3,P,18,305,YEL063C,CAN1
3,P,19,4213,YDR377W,ATP17
3,P,20,306,YEL064C,AVT2
3,P,21,4214,YDR378C,LSM6
3,P,22,307,YEL065W,SIT1
3,P,23,4215,YDR379W,RGA2
3,P,24,308,YEL066W,HPA3
4,A,1,309,YEL067C,YEL067C
4,A,2,4783,YGR153W,YGR153W
4,A,3,310,YEL068C,YEL068C
4,A,4,4784,YGR154C,GTO1
4,A,5,313,YEL071W,DLD3
4,A,6,4787,YGR157W,CHO2
4,A,7,314,YEL072W,RMD6
4,A,8,4789,YGR159C,NSR1
4,A,9,322,YER001W,MNN1
4,A,10,4790,YGR160W,YGR160W
4,A,11,323,YER002W,NOP16
4,A,12,4791,YGR161C,RTS3
4,A,13,325,YER004W,FMP52
4,A,14,4793,YGR163W,GTR2
4,A,15,326,YER005W,YND1
4,A,16,4794,YGR164W,YGR164W
4,A,17,328,YER007C-A,TMA20
4,A,18,4795,YGR165W,MRPS35
4,A,19,329,YER007W,PAC2
4,A,20,4796,YGR166W,TRS65
4,A,21,332,YER010C,YER010C
4,A,22,7133,YOL153C,YOL153C
4,A,23,333,YER011W,TIR1
4,A,24,4798,YGR168C,YGR168C
4,B,1,994,YHR031C,RRM3
4,B,2,2889,YHR195W,NVJ1
4,B,3,997,YHR034C,PIH1
4,B,4,2892,YHR198C,AIM18
